,d1,d2
0,0.16912185297164578,0.43343119505014227
1,0.5035808377202198,0.48662543948036624
2,0.5678235270051026,0.5581323830854334
3,0.6307779678861389,0.4604790596205533
4,0.7544684138394806,0.3676215156760323
5,0.43545150937966126,0.3434290064044144
6,0.33873631860231024,0.5245779988107928
7,0.5085576795908665,0.488784759704414
8,0.5914851918493179,0.318732715104237
9,0.5119069005994715,0.4922051311297681
10,0.424516742261089,0.2745019336075877
11,0.43977288139340864,0.3360126386765035
12,0.558631415496343,0.4311932499415111
13,0.49420491392093024,0.4493682510585483
14,0.36360128867492403,0.5312034595232936
15,0.570467388437798,0.509265107788797
16,0.13029960707372973,0.5367980025858756
17,0.536904699615399,0.7115309802591449
18,0.5862486561881529,0.5693462407976755
19,0.449707137647541,0.4283008669446101
20,0.44465748810172706,0.6773904763494024
21,0.7281415115713004,0.5812788737011197
22,0.398773527221648,0.4677963406048534
23,0.6609642702851336,0.6207773016592948
24,0.47790358053397575,0.6033148416690559
25,0.42897769434006555,0.6916635552282132
26,0.6956075199328193,0.5619373051954608
27,0.4821336085997968,0.6743674057609144
28,0.529060813928045,0.6958371809890038
29,0.4881648900048858,0.28986855897428
30,0.41156038858117094,0.39722823941250457
31,0.3918461509853885,0.4319904529480466
32,0.4344439259343241,0.5683934942462551
33,0.42001649394612806,0.4740654286642637
34,0.39222840331886333,0.30844565308744276
35,0.573787014956197,0.5744835651632654
36,0.4061278054962963,0.5915388120360008
37,0.624624396174665,0.5039077666360154
38,0.23166473896194612,0.6145124150645435
39,0.6200854185382817,0.5353564600545248
40,0.5301006509798011,0.5335222936412582
41,0.36995326485189284,0.38018905094341576
42,0.5218722223030906,0.5992201705509284
43,0.6158653516766205,0.32638884576761806
44,0.6315090304056565,0.46572107095880816
45,0.4918058416380253,0.4882080918718963
46,0.5133125027541603,0.5957515558326129
47,0.5375058218256659,0.5876011676048107
48,0.36143384473376167,0.5883742826940094
49,0.5748892903213538,0.4623857881599939
50,0.6506566324968505,0.5447248943979492
51,0.6551307874943415,0.45568739340676456
52,0.42776991837712275,0.7099327098004546
53,0.5351889224261199,0.27120698490314604
54,0.4202417350406077,0.1846110963342204
55,0.3636182598272365,0.39064432893299844
56,0.2769125233478069,0.6911302977486912
57,0.6746147532002468,0.6157520401774933
58,0.6166062939418007,0.5092525655559754
